a method for estimation of XXXXX of XXXXX is presented	['effective properties', 'porous materials']
the main contributions of this paper are a strategy based on pso and XXXXX for optimizing a gabor filter bank that responds stronger to multi-scale and multi-orientation texture micro-patterns in a mammogram and enhances the XXXXX	['incremental clustering', 'classification rate']
the main contributions of this paper are a strategy based on pso and incremental clustering for optimizing a XXXXX that responds stronger to multi-scale and multi-orientation texture micro-patterns in a mammogram and enhances the XXXXX	['gabor filter bank', 'classification rate']
for the evaluation of the effect of the optimized XXXXX on the mass classification problems , it is applied on overlapping blocks of the rois to collect moment-based features ( i.e. , mean , XXXXX , skewness ) from the magnitudes of gabor responses	['gabor filter bank', 'standard deviation']
we focus on XXXXX ( mc ) method in XXXXX	['monte carlo', 'fuzzy linear regression models']
the study covers different XXXXX that have not previously calculated for monte carlo study in XXXXX	['error measures', 'fuzzy linear regression models']
we obtain the most useful and the worst XXXXX to estimate fuzzy regression parameters without using any XXXXX or heavy fuzzy arithmetic operations	['error measures', 'mathematical programming']
the tsk-type XXXXX uses flann in the consequent part of the XXXXX for improved mapping	['fuzzy inference system', 'fuzzy rules']
the XXXXX , asymmetric shock by XXXXX of XXXXX are important for forecasting	['leverage effect', 'egarch model']
the XXXXX , asymmetric shock by XXXXX of XXXXX are important for forecasting	['leverage effect', 'egarch model']
a XXXXX based XXXXX is used for egarch-flann model parameters	['differential evolution', 'learning strategy']
a XXXXX based learning strategy is used for egarch-flann XXXXX	['differential evolution', 'model parameters']
a differential evolution based XXXXX is used for egarch-flann XXXXX	['learning strategy', 'model parameters']
the proposed method outperformed the conventional methods ( the multi-layer autoencoder , the denoising autoencoder , and kernel pca ) for the XXXXX on XXXXX	['synthetic data', 'linear regression task']
in the XXXXX on ion conductivity data of bulk materials and hydrogen storage materials , the good XXXXX was obtained in terms of the latent data uniformed by the proposed method	['linear regression task', 'fitting performance']
proposed methodology uses the current amplitudes signal in XXXXX as the inputs of the XXXXX for fault diagnosis	['time domain', 'multi-agent system']
proposed methodology uses the current amplitudes signal in XXXXX as the inputs of the multi-agent system for XXXXX	['time domain', 'fault diagnosis']
proposed methodology uses the current amplitudes signal in time domain as the inputs of the XXXXX for XXXXX	['multi-agent system', 'fault diagnosis']
the XXXXX incorporates XXXXX with better results for each type of fault	['multi-agent system', 'pattern recognition techniques']
experimental results gathered from three-phase XXXXX operating with different XXXXX and fed under unbalance voltage are provided	['induction motors', 'load conditions']
we propose a XXXXX based on the XXXXX and semivalue	['betweenness centrality', 'shapley value']
we provide an XXXXX of algorithms on real-life and XXXXX	['empirical evaluation', 'random graphs']
we present an architecture based on XXXXX that allows to build a portable classifier with XXXXX , and we reach state-of-the-art performance	['feature selection', 'minimum cost']
XXXXX exploits XXXXX and all available mined information	['domain knowledge', 'process comparison']
tests in XXXXX show that , with respect to previously published metrics our approach generates outputs closer to those of a XXXXX expert ; the framework can support experts in answering key XXXXX	['stroke management', 'research questions']
tests in XXXXX show that , with respect to previously published metrics our approach generates outputs closer to those of a XXXXX expert ; the framework can support experts in answering key XXXXX	['stroke management', 'research questions']
XXXXX of common entries and similar XXXXX in two different pathways	['automatic identification', 'reaction paths']
the proposed methodology , visual diagnostic dss , employs ml algorithms and XXXXX for XXXXX in medical genetics	['automated diagnosis', 'image processing techniques']
nicesim provides a XXXXX for simulation after XXXXX	['graphical user interface', 'model building']
we focus on short-term XXXXX considering complete surgery flow and the XXXXX involved	['multiple resources', 'surgery scheduling problem']
we propose a modified XXXXX with a two-level ant XXXXX and specific aco mechanism	['graph model', 'aco algorithm']
we proposed improved XXXXX measures of simplified neutrosophic sets ( snss ) based on cosine function , including single valued neutrosophic XXXXX measures and interval neutrosophic XXXXX measures , to overcome some disadvantages of existing XXXXX measures of snss	['cosine similarity', 'cosine similarity measures']
we proposed improved XXXXX measures of simplified neutrosophic sets ( snss ) based on cosine function , including single valued neutrosophic XXXXX measures and interval neutrosophic XXXXX measures , to overcome some disadvantages of existing XXXXX measures of snss	['cosine similarity', 'cosine similarity measures']
we proposed improved XXXXX measures of simplified neutrosophic sets ( snss ) based on cosine function , including single valued neutrosophic XXXXX measures and interval neutrosophic XXXXX measures , to overcome some disadvantages of existing XXXXX measures of snss	['cosine similarity', 'cosine similarity measures']
we proposed improved XXXXX measures of simplified neutrosophic sets ( snss ) based on cosine function , including single valued neutrosophic XXXXX measures and interval neutrosophic XXXXX measures , to overcome some disadvantages of existing XXXXX measures of snss	['cosine similarity', 'cosine similarity measures']
we proposed improved XXXXX measures of simplified neutrosophic sets ( snss ) based on cosine function , including single valued neutrosophic XXXXX measures and interval neutrosophic XXXXX measures , to overcome some disadvantages of existing XXXXX measures of snss	['cosine similarity', 'cosine similarity measures']
we proposed improved XXXXX measures of simplified neutrosophic sets ( snss ) based on cosine function , including single valued neutrosophic XXXXX measures and interval neutrosophic XXXXX measures , to overcome some disadvantages of existing XXXXX measures of snss	['cosine similarity', 'cosine similarity measures']
we proposed improved XXXXX measures of simplified neutrosophic sets ( snss ) based on cosine function , including single valued neutrosophic XXXXX measures and interval neutrosophic XXXXX measures , to overcome some disadvantages of existing XXXXX measures of snss	['cosine similarity', 'cosine similarity measures']
we proposed improved XXXXX measures of simplified neutrosophic sets ( snss ) based on cosine function , including single valued neutrosophic XXXXX measures and interval neutrosophic XXXXX measures , to overcome some disadvantages of existing XXXXX measures of snss	['cosine similarity', 'cosine similarity measures']
we proposed improved XXXXX measures of simplified neutrosophic sets ( snss ) based on cosine function , including single valued neutrosophic XXXXX measures and interval neutrosophic XXXXX measures , to overcome some disadvantages of existing XXXXX measures of snss	['cosine similarity', 'cosine similarity measures']
we proposed improved XXXXX measures of simplified neutrosophic sets ( snss ) based on cosine function , including single valued neutrosophic XXXXX measures and interval neutrosophic XXXXX measures , to overcome some disadvantages of existing XXXXX measures of snss	['cosine similarity', 'cosine similarity measures']
we proposed improved XXXXX measures of simplified neutrosophic sets ( snss ) based on cosine function , including single valued neutrosophic XXXXX measures and interval neutrosophic XXXXX measures , to overcome some disadvantages of existing XXXXX measures of snss	['cosine similarity', 'cosine similarity measures']
we proposed improved XXXXX measures of simplified neutrosophic sets ( snss ) based on cosine function , including single valued neutrosophic XXXXX measures and interval neutrosophic XXXXX measures , to overcome some disadvantages of existing XXXXX measures of snss	['cosine similarity', 'cosine similarity measures']
we presented a XXXXX method based on the improved cosine similarity measures to solve XXXXX problems with simplified neutrosophic information	['medical diagnosis', 'medical diagnosis method']
we presented a XXXXX method based on the improved XXXXX to solve XXXXX problems with simplified neutrosophic information	['medical diagnosis', 'cosine similarity measures']
we presented a XXXXX method based on the improved cosine similarity measures to solve XXXXX problems with simplified neutrosophic information	['medical diagnosis', 'medical diagnosis problems']
we presented a XXXXX based on the improved XXXXX to solve medical diagnosis problems with simplified neutrosophic information	['medical diagnosis method', 'cosine similarity measures']
we presented a XXXXX based on the improved cosine similarity measures to solve XXXXX with simplified neutrosophic information	['medical diagnosis method', 'medical diagnosis problems']
we presented a medical diagnosis method based on the improved XXXXX to solve XXXXX with simplified neutrosophic information	['cosine similarity measures', 'medical diagnosis problems']
two XXXXX were given to show the effectiveness and rationality of the XXXXX using the improved cosine similarity measures	['medical diagnosis problems', 'diagnosis method']
two XXXXX were given to show the effectiveness and rationality of the diagnosis method using the improved XXXXX	['medical diagnosis problems', 'cosine similarity measures']
two medical diagnosis problems were given to show the effectiveness and rationality of the XXXXX using the improved XXXXX	['diagnosis method', 'cosine similarity measures']
XXXXX ontology is a tool to create XXXXX of hci assessment	['knowledge bases', 'investigation model']
a semi-online XXXXX in the XXXXX is studied	['patient scheduling problem', 'pathology laboratory']
the approach reduces XXXXX of patients and improves XXXXX	['waiting time', 'operations efficiency']
XXXXX approaches are evaluated for assigning XXXXX to emrs	['supervised learning', 'diagnosis codes']
we propose an approach to XXXXX in XXXXX based on grey relational analysis and d-s theory of evidence	['fuzzy soft set', 'decision making']
we develop a XXXXX to integrate XXXXX with the basic rs model	['hybrid model', 'word similarity']
we improved XXXXX recall using suffix patterns evolved by XXXXX	['genetic programming', 'drug ner']
prior XXXXX is incorporated into the XXXXX	['domain knowledge', 'selection procedure']
knowledge engeering for medical expert systems dominated the first decade of aime , while XXXXX and XXXXX prevailed thereafter	['machine learning', 'data mining']
promising directions for XXXXX are XXXXX , personalized medicine , evidence based medicine , business process modeling , process mining and nlp in social media	['future research', 'big data']
promising directions for XXXXX are big data , XXXXX , evidence based medicine , business process modeling , process mining and nlp in social media	['future research', 'personalized medicine']
promising directions for XXXXX are big data , personalized medicine , evidence based medicine , business process modeling , XXXXX and nlp in social media	['future research', 'process mining']
promising directions for XXXXX are big data , personalized medicine , evidence based medicine , business process modeling , process mining and nlp in XXXXX	['future research', 'social media']
promising directions for future research are XXXXX , XXXXX , evidence based medicine , business process modeling , process mining and nlp in social media	['big data', 'personalized medicine']
promising directions for future research are XXXXX , personalized medicine , evidence based medicine , business process modeling , XXXXX and nlp in social media	['big data', 'process mining']
promising directions for future research are XXXXX , personalized medicine , evidence based medicine , business process modeling , process mining and nlp in XXXXX	['big data', 'social media']
promising directions for future research are big data , XXXXX , evidence based medicine , business process modeling , XXXXX and nlp in social media	['personalized medicine', 'process mining']
promising directions for future research are big data , XXXXX , evidence based medicine , business process modeling , process mining and nlp in XXXXX	['personalized medicine', 'social media']
promising directions for future research are big data , personalized medicine , evidence based medicine , business process modeling , XXXXX and nlp in XXXXX	['process mining', 'social media']
XXXXX for simultaneous XXXXX and classifier weighting	['evolutionary algorithm', 'feature selection']
we encountered a clinical demand to process XXXXX within XXXXX medical logic modules	['complex data', 'arden syntax']
we encountered a clinical demand to process XXXXX within arden syntax medical XXXXX	['complex data', 'logic modules']
we encountered a clinical demand to process complex data within XXXXX medical XXXXX	['arden syntax', 'logic modules']
in 2004 we developed a pediatric computer based XXXXX , chica , using XXXXX medical logic modules ( mlm )	['clinical decision support system', 'arden syntax']
in 2004 we developed a pediatric computer based XXXXX , chica , using arden syntax medical XXXXX ( mlm )	['clinical decision support system', 'logic modules']
in 2004 we developed a pediatric computer based clinical decision support system , chica , using XXXXX medical XXXXX ( mlm )	['arden syntax', 'logic modules']
such a system can be used to combine data generated by XXXXX apps with XXXXX	['clinical data', 'home monitoring']
we examine its importance by an XXXXX of four XXXXX	['empirical study', 'feature selection methods']
we use a XXXXX to improve XXXXX based on timing information	['probabilistic model', 'classification accuracy']
the paper studies several XXXXX ( nlp ) techniques to extract predictors from uncoded data in XXXXX ( emrs )	['natural language processing', 'electronic medical records']
the XXXXX several XXXXX ( nlp ) techniques to extract predictors from uncoded data in electronic medical records ( emrs )	['natural language processing', 'paper studies']
the XXXXX several natural language processing ( nlp ) techniques to extract predictors from uncoded data in XXXXX ( emrs )	['electronic medical records', 'paper studies']
the results show that some of the XXXXX studied can complement the coded emr data , and hence , result in improved XXXXX	['predictive models', 'nlp techniques']
the objective is to provide real-world XXXXX and XXXXX	['decision support', 'risk management']
both applications provide improvements in XXXXX and XXXXX	['predictive accuracy', 'decision support']
the developed XXXXX generates the parameters of a XXXXX by capturing the subjective and intuitive knowledge of medical physicists	['cbr system', 'treatment plan']
in this research we focus on the adaptation stage of the XXXXX in which the solution ( XXXXX ) of the retrieved case is adapted to meet the needs of the new case ( patient ) by considering differences between the retrieved and new cases	['cbr system', 'treatment plan']
the XXXXX was deployed alongside the XXXXX to evaluate its ability to discover rules that complement the existing rule set	['learning module', 'baseline system']
the XXXXX extracted clinically relevant rules , some of which extend the XXXXX of the baseline system	['knowledge base', 'learning module']
the learning module extracted clinically relevant rules , some of which extend the XXXXX of the XXXXX	['knowledge base', 'baseline system']
the XXXXX extracted clinically relevant rules , some of which extend the knowledge base of the XXXXX	['learning module', 'baseline system']
used XXXXX to determine multiple level of context in free living and contextualize XXXXX	['machine learning methods', 'heart rate data']
we develop a XXXXX with the XXXXX	['particle filter', 'dirichlet distribution']
XXXXX can be optimized by carefully XXXXX the workload	['parallel performance', 'load balancing']
XXXXX is used for the XXXXX	['comparative study', 'real time data']
it integrates vo XXXXX as first-class XXXXX in taverna scientific workflows	['web services', 'building blocks']
the high XXXXX can be got based on XXXXX	['clinical data', 'prediction performance']
a touching nuclei XXXXX based on XXXXX and concave vertex graph is proposed to quantify the total number of cancer nuclei in each class	['watershed algorithm', 'separation method']
XXXXX learn from XXXXX and multibody model solutions	['neural networks', 'finite element']
developed a novel framework to apply sparse and overcomplete representations for the removal of XXXXX in real XXXXX	['speckle noise', 'ultrasound images']
we proposed a combinational feature extraction approach based on some XXXXX extracted from electro cardio graph ( ecg ) XXXXX ( rps ) and usually used frequency domain features for detection of sleep apnoea	['nonlinear features', 'reconstructed phase space']
here 6 XXXXX extracted from ecg rps are combined with 3 frequency based features to reconstruct final XXXXX	['nonlinear features', 'feature set']
the XXXXX consist of detrended fluctuation analysis ( dfa ) , correlation dimensions ( cd ) , 3 large XXXXX ( lles ) and spectral entropy ( se )	['nonlinear features', 'lyapunov exponents']
the XXXXX consist of detrended XXXXX ( dfa ) , correlation dimensions ( cd ) , 3 large lyapunov exponents ( lles ) and spectral entropy ( se )	['nonlinear features', 'fluctuation analysis']
the XXXXX consist of detrended fluctuation analysis ( dfa ) , XXXXX ( cd ) , 3 large lyapunov exponents ( lles ) and spectral entropy ( se )	['nonlinear features', 'correlation dimensions']
the nonlinear features consist of detrended XXXXX ( dfa ) , correlation dimensions ( cd ) , 3 large XXXXX ( lles ) and spectral entropy ( se )	['lyapunov exponents', 'fluctuation analysis']
the nonlinear features consist of detrended fluctuation analysis ( dfa ) , XXXXX ( cd ) , 3 large XXXXX ( lles ) and spectral entropy ( se )	['lyapunov exponents', 'correlation dimensions']
the nonlinear features consist of detrended XXXXX ( dfa ) , XXXXX ( cd ) , 3 large lyapunov exponents ( lles ) and spectral entropy ( se )	['fluctuation analysis', 'correlation dimensions']
a XXXXX ( fmm ) based XXXXX is proposed to interpolate the missing voxels	['fast marching method', 'reconstruction algorithm']
the fmm XXXXX could preserve relatively sharper edges and more XXXXX in the reconstructed image slices	['reconstruction algorithm', 'texture patterns']
the fmm XXXXX runs efficiently and requires less XXXXX	['reconstruction algorithm', 'computation time']
we classify different sleep stages with 41 XXXXX through XXXXX	['random forest', 'hrv features']
we propose to extract texture feature descriptors based on XXXXX to characterize breast tumors in XXXXX	['shearlet transform', 'ultrasound images']
novel XXXXX based on XXXXX and nonlinear transformation	['feature extraction', 'tensor decomposition']
the method can escape from XXXXX by using a fairly large XXXXX during freely deforming	['local minima', 'detection range']
investigated XXXXX and model estimation methods for mr XXXXX	['statistical models', 'image segmentation']
investigated XXXXX and XXXXX methods for mr image segmentation	['statistical models', 'model estimation']
investigated statistical models and XXXXX methods for mr XXXXX	['image segmentation', 'model estimation']
XXXXX of eeg signal were extracted by XXXXX ( csp )	['feature vectors', 'common spatial patterns']
XXXXX were classified by XXXXX ( svm )	['feature vectors', 'support vector machine']
we propose a multi-step directional ggvf XXXXX for XXXXX	['snake model', 'target tumor segmentation']
for correlated rhythms , an XXXXX exists between bandwidth and XXXXX	['spatial resolution', 'inverse relationship']
help the researchers to develop a new XXXXX for XXXXX	['mr images', 'denoising method']
helps to choose the best XXXXX for further XXXXX	['denoising method', 'image processing methods']
XXXXX are XXXXX	['respiratory sounds', 'chaotic signals']
a new XXXXX method is proposed for XXXXX in XXXXX	['noise reduction', 'respiratory sounds']
a new XXXXX method is proposed for XXXXX in respiratory sounds	['noise reduction', 'noise reduction method']
a new XXXXX is proposed for noise reduction in XXXXX	['respiratory sounds', 'noise reduction method']
the proposed method is based on new nonlinear XXXXX as controller that their parameter tunes by XXXXX	['convex function', 'genetic algorithm']
a framework on wavelet-based XXXXX and extreme XXXXX is proposed for the seizure detection	['nonlinear features', 'machine learning']
a framework on wavelet-based XXXXX and extreme machine learning is proposed for the XXXXX	['nonlinear features', 'seizure detection']
a framework on wavelet-based nonlinear features and extreme XXXXX is proposed for the XXXXX	['machine learning', 'seizure detection']
applications in the natural XXXXX and pathological XXXXX	['speech synthesis', 'speech recognition']
the paper presents a new method for XXXXX in ultrasound XXXXX	['speckle reduction', 'medical images']
the proposed method combines the XXXXX and ripplet thresholding to remove the speckles in XXXXX	['bilateral filter', 'ultrasound images']
this improved XXXXX is used as an input to evolve the initial XXXXX	['edge information', 'level set function']
we extend the method to afford XXXXX of new models in XXXXX	['unsupervised learning', 'real time']
a XXXXX estimated the time varying XXXXX representing the windkessel model 's output signal	['kalman filter', 'fourier series']
XXXXX reconstruct method is used to reconstruct the XXXXX of XXXXX	['phase space', 'eeg signals']
XXXXX reconstruct method is used to reconstruct the XXXXX of XXXXX	['phase space', 'eeg signals']
the features are extracted by amplitude–frequency XXXXX in the XXXXX	['phase space', 'analysis method']
using an fpga platform , we showed that the cs-based XXXXX , compared to a low-power wavelet-based XXXXX , can largely reduce XXXXX and save other computing resources	['power consumption', 'compression method']
using an fpga platform , we showed that the cs-based XXXXX , compared to a low-power wavelet-based XXXXX , can largely reduce XXXXX and save other computing resources	['power consumption', 'compression method']
design of an energy optimal trajectory planner , based on XXXXX to decide the optimal path for the XXXXX to move towards the target	['differential evolution', 'robot arm']
the XXXXX of the simulated XXXXX reaching the target is 85 %	['robot arm', 'success rate']
we proposed a novel XXXXX rejection approach to suppress the XXXXX signals induced by the slowly moving vessel walls and tissues in composite XXXXX	['doppler ultrasound signals', 'quadrature clutter']
we proposed a novel XXXXX rejection approach to suppress the XXXXX signals induced by the slowly moving vessel walls and tissues in composite XXXXX	['doppler ultrasound signals', 'quadrature clutter']
the proposed XXXXX approach is based on multivariate empirical XXXXX ( memd )	['clutter rejection', 'mode decomposition']
the XXXXX between the quadrature demodulated XXXXX is keeping well during the decomposition by memd	['phase information', 'doppler ultrasound signals']
we quantify contrast agent XXXXX in plaque using XXXXX	['spatial distribution', 'texture features']
the XXXXX of histogram are extracted for XXXXX	['statistical features', 'svm classification']
a new angiogram background suppression method based on 3d XXXXX is proposed in the context of sparsity regularized XXXXX of coronary artery	['vessel segmentation', 'iterative reconstruction']
a new angiogram background suppression method based on 3d XXXXX is proposed in the context of sparsity regularized iterative reconstruction of XXXXX	['vessel segmentation', 'coronary artery']
a new angiogram background suppression method based on 3d vessel segmentation is proposed in the context of sparsity regularized XXXXX of XXXXX	['iterative reconstruction', 'coronary artery']
several experiments are performed to quantitatively evaluate the proposed method and experimental results show that it can effectively improve the XXXXX of XXXXX	['coronary artery', 'reconstruction quality']
XXXXX of XXXXX diabetic göttingen minipigs	['model development', 'glucose metabolism']
development of XXXXX for future XXXXX	['mathematical model', 'control design']
XXXXX , especially the dynamic change of arm position , have adverse effect on surface electromyography pattern recognition of wrist or hand motions , which results in very high XXXXX	['arm movements', 'classification errors']
we adopted three metrics to quantify the changes of characteristics in the XXXXX due to XXXXX	['feature space', 'arm movements']
a robust training scheme was used to eliminate this effect and a novel classifier , conditional XXXXX , was proposed to improve the XXXXX under this training scheme	['gaussian mixture model', 'classification performance']
a robust XXXXX was used to eliminate this effect and a novel classifier , conditional XXXXX , was proposed to improve the classification performance under this XXXXX	['gaussian mixture model', 'training scheme']
a robust XXXXX was used to eliminate this effect and a novel classifier , conditional XXXXX , was proposed to improve the classification performance under this XXXXX	['gaussian mixture model', 'training scheme']
a robust XXXXX was used to eliminate this effect and a novel classifier , conditional gaussian mixture model , was proposed to improve the XXXXX under this XXXXX	['classification performance', 'training scheme']
a robust XXXXX was used to eliminate this effect and a novel classifier , conditional gaussian mixture model , was proposed to improve the XXXXX under this XXXXX	['classification performance', 'training scheme']
boundaries of XXXXX ( s1 , s2 , s3 , s4 ) and murmurs are automatically determined using instantaneous XXXXX of the envelope	['heart sounds', 'phase waveform']
XXXXX from a contour integration task are analyzed with empirical XXXXX	['fmri data', 'mode decomposition']
introduction of a switching control method and XXXXX by means of two XXXXX of the porcine glucose metabolism	['controller design', 'mathematical models']
introduction of a switching control method and XXXXX by means of two mathematical models of the porcine XXXXX	['controller design', 'glucose metabolism']
introduction of a XXXXX and XXXXX by means of two mathematical models of the porcine glucose metabolism	['controller design', 'switching control method']
introduction of a switching control method and controller design by means of two XXXXX of the porcine XXXXX	['mathematical models', 'glucose metabolism']
introduction of a XXXXX and controller design by means of two XXXXX of the porcine glucose metabolism	['mathematical models', 'switching control method']
introduction of a XXXXX and controller design by means of two mathematical models of the porcine XXXXX	['glucose metabolism', 'switching control method']
XXXXX of XXXXX by animal trials taking into account control performance and technical limitations	['experimental evaluation', 'control method']
XXXXX of control method by animal trials taking into account XXXXX and technical limitations	['experimental evaluation', 'control performance']
experimental evaluation of XXXXX by animal trials taking into account XXXXX and technical limitations	['control method', 'control performance']
estimated parameters of the ar-garch model formed the new XXXXX for the XXXXX	['feature set', 'pattern classification']
the possibility to reconstruct a XXXXX from XXXXX in order to characterize it from a dynamical point of view is performed	['mathematical model', 'experimental data']
the XXXXX , the fractal and XXXXX could be used for classification feature	['time lag', 'correlation dimensions']
the significance of the measurements is assessment based on the XXXXX , the total XXXXX ( the level of noise plus non-linearities ) , the experimental errors and the effect of using different sensors	['standard deviation', 'noise level']
the paper presents an algorithm for XXXXX in XXXXX	['speckle reduction', 'ultrasound images']
the proposed method is based on non-linear adaptive XXXXX in nonsubsampled XXXXX	['diffusion model', 'shearlet domain']
the proposed method provides better XXXXX and edge preservation performance for ultrasound XXXXX as compared to others	['noise suppression', 'medical images']
we perform an XXXXX of XXXXX	['automatic analysis', 'speech signals']
XXXXX exhibit longer pauses between each XXXXX	['pd patients', 'sentence repetition']
redundant information reduced significantly which saves XXXXX and improves XXXXX	['computational time', 'image quality']
we use a set of three XXXXX as a dynamical model of XXXXX	['differential equations', 'ecg signals']
two classifiers are constructed to classify XXXXX according to the XXXXX	['ecg signals', 'parameter changes']
the method uses XXXXX and XXXXX for the extraction of oriented patterns and linear structures representing breast tissues	['gabor filters', 'radon transform']
XXXXX for the XXXXX based on sparse representation	['compression algorithm', 'ecg signals']
XXXXX for the ecg signals based on XXXXX	['compression algorithm', 'sparse representation']
compression algorithm for the XXXXX based on XXXXX	['ecg signals', 'sparse representation']
XXXXX are better in terms of power spectra and XXXXX	['stochastic models', 'information entropy']
XXXXX are better in terms of XXXXX and information entropy	['stochastic models', 'power spectra']
stochastic models are better in terms of XXXXX and XXXXX	['information entropy', 'power spectra']
bhattacharyya space algorithm , t-test , wilcoxon test , receiver operating curve ( roc ) , and XXXXX are used for XXXXX	['feature ranking', 'entropy method']
the comparation is given between the XXXXX strategy and constant XXXXX , which shows the XXXXX strategy is better than constant XXXXX	['optimal control', 'control strategy']
the comparation is given between the XXXXX strategy and constant control strategy , which shows the XXXXX strategy is better than constant control strategy	['optimal control', 'optimal control strategy']
the comparation is given between the XXXXX strategy and constant control strategy , which shows the XXXXX strategy is better than constant control strategy	['optimal control', 'optimal control strategy']
the comparation is given between the optimal XXXXX and constant XXXXX , which shows the optimal XXXXX is better than constant XXXXX	['control strategy', 'optimal control strategy']
the comparation is given between the optimal XXXXX and constant XXXXX , which shows the optimal XXXXX is better than constant XXXXX	['control strategy', 'optimal control strategy']
increasing XXXXX parameter will decrease the XXXXX	['model performance', 'constraint window']
stochastic model predictive ( stomp ) is a glycaemic XXXXX that combines the probabilistic , stochastic XXXXX of previous methods ( star ) with model predictive control , for ease of tuning	['control protocol', 'forecasting methods']
this paper presents a hybrid XXXXX for ultrasound XXXXX	['medical images', 'segmentation method']
the proposed algorithm can distinguish among six classes of XXXXX using two temporal eeg sensors with XXXXX and low-latency using a single-trial to make a decision	['eye movements', 'high accuracy']
XXXXX ( acms ) detecting XXXXX ( od ) boundaries are investigated	['active contour models', 'optic disc']
images are subject to adaptive XXXXX and XXXXX	['histogram equalization', 'morphological operations']
we achieve better performance on simulated and XXXXX medical XXXXX	['in vivo', 'ultrasound images']
we develop ground reaction force ( grf ) based XXXXX for XXXXX	['human gait', 'asymmetry measure']
the proposed method is based on the XXXXX measure and the pcnn model for fusing the image coefficients in nonsubsampled XXXXX	['activity level', 'shearlet domain']
cleaned real XXXXX are used for pattern recognition-based XXXXX	['gesture recognition', 'emg signals']
XXXXX is improved for real emg with added XXXXX	['classification accuracy', 'white noise']
a new algorithm named ibfsvm is proposed , which is based on fuzzy XXXXX and can be used in XXXXX	['support vector', 'imbalanced classification']
the multi-ganglion ann based XXXXX ( annfl ) method is an unsupervised XXXXX	['feature learning', 'feature extraction method']
a novel method based on XXXXX is proposed for XXXXX from eeg data , simultaneously recorded with fmri	['dictionary learning', 'bcg removal']
a new XXXXX , having the generic XXXXX as its core , is proposed	['cost function', 'dictionary learning']
the hms based entropy and XXXXX are extracted for XXXXX	['svm classification', 'energy features']
an optimal XXXXX is chosen by formal XXXXX	['feature vector', 'statistical testing']
we developed a new XXXXX to detect XXXXX from ecg	['statistical model', 'atrial fibrillation']
an automatic detection algorithm for detection of pathologic voices is suggested . residual signals extracted by applying XXXXX on wavelet sub-bands provide a highly reliable vocal disorders detection scheme . by employing XXXXX and support vector machine , a great classification is achieved	['linear prediction', 'linear discriminant analysis']
an automatic detection algorithm for detection of pathologic voices is suggested . residual signals extracted by applying XXXXX on wavelet sub-bands provide a highly reliable vocal disorders detection scheme . by employing linear discriminant analysis and XXXXX , a great classification is achieved	['linear prediction', 'support vector machine']
an automatic detection algorithm for detection of pathologic voices is suggested . residual signals extracted by applying linear prediction on wavelet sub-bands provide a highly reliable vocal disorders detection scheme . by employing XXXXX and XXXXX , a great classification is achieved	['linear discriminant analysis', 'support vector machine']
motivation : synchronize XXXXX from several XXXXX is a difficult task	['biomedical signals', 'acquisition systems']
methodology : use of XXXXX and correlation methods to synchronize XXXXX	['white noise', 'biomedical signals']
XXXXX largely compresses neural signals and has a small XXXXX	['reconstruction error', 'mdc matrix']
XXXXX can be used over a large range of the XXXXX for compression	['mdc matrix', 'sampling rate']
an improved XXXXX for multimodal XXXXX	['retinal images', 'registration framework']
we propose two adaptive compression paradigms for the XXXXX ( dwt ) and XXXXX ( cs ) compression techniques	['discrete wavelet transform', 'compressive sensing']
we propose two adaptive compression paradigms for the XXXXX ( dwt ) and compressive sensing ( cs ) XXXXX	['discrete wavelet transform', 'compression techniques']
we propose two adaptive compression paradigms for the discrete wavelet transform ( dwt ) and XXXXX ( cs ) XXXXX	['compressive sensing', 'compression techniques']
the paper presents a XXXXX of newborn cry signals based on XXXXX	['hidden markov models', 'segmentation system']
the XXXXX and respiratory rate are estimated form the XXXXX envelope	['heart rate', 'shannon energy']
a XXXXX for eeg XXXXX is proposed which combines permutation and lempel-ziv complexity ( plzc )	['signal analysis', 'complexity measure']
combine XXXXX and wilcoxon statistics for eeg signal XXXXX	['wavelet transform', 'feature extraction']
pulsations of XXXXX and XXXXX are correlated for 0.01–0.1hz	['blood flow', 'skin temperature']
finding best samples for lmmse estimation in XXXXX will improve the XXXXX	['dct domain', 'denoising performance']
its performances were tested using both coupled XXXXX and clinical cardiovascular coupled signals , and were also compared with two existing cross entropy measures : cross XXXXX ( c-sampen ) and cross fuzzy entropy ( c-fuzzyen )	['simulation models', 'sample entropy']
its performances were tested using both coupled XXXXX and clinical cardiovascular coupled signals , and were also compared with two existing cross entropy measures : cross sample entropy ( c-sampen ) and cross XXXXX ( c-fuzzyen )	['simulation models', 'fuzzy entropy']
its performances were tested using both coupled simulation models and clinical cardiovascular coupled signals , and were also compared with two existing cross entropy measures : cross XXXXX ( c-sampen ) and cross XXXXX ( c-fuzzyen )	['sample entropy', 'fuzzy entropy']
XXXXX ( hr ) monitoring using wrist-type XXXXX during physical exercise was examined	['heart rate', 'ppg signals']
evaluation of XXXXX of XXXXX based classification ( src ) method	['noise robustness', 'sparse representation']
generation of new noisy XXXXX by adding two XXXXX into the eeg XXXXX	['test signals', 'noise sources']
generation of new noisy XXXXX by adding two XXXXX into the eeg XXXXX	['noise sources', 'test signals']
